source,market,symbol,interval,kline_open_ts,kline_close_ts,fetch_ts,human_open_time,human_open_time_local,open,high,low,close,volume
legacy,crypto,BTC/USDT,4h,1502942400,1502956800,1502942400,2017-08-17T04:00:00+00:00,2017-08-17T12:00:00+08:00,4261.48,4349.99,4261.32,4349.99,82.088865
legacy,crypto,BTC/USDT,4h,1502956800,1502971200,1502956800,2017-08-17T08:00:00+00:00,2017-08-17T16:00:00+08:00,4333.32,4485.39,4333.32,4427.3,63.619882
legacy,crypto,BTC/USDT,4h,1502971200,1502985600,1502971200,2017-08-17T12:00:00+00:00,2017-08-17T20:00:00+08:00,4436.06,4485.39,4333.42,4352.34,174.562001
legacy,crypto,BTC/USDT,4h,1502985600,1503000000,1502985600,2017-08-17T16:00:00+00:00,2017-08-18T00:00:00+08:00,4352.33,4354.84,4200.74,4325.23,225.109716
legacy,crypto,BTC/USDT,4h,1503000000,1503014400,1503000000,2017-08-17T20:00:00+00:00,2017-08-18T04:00:00+08:00,4307.56,4369.69,4258.56,4285.08,249.769913
legacy,crypto,BTC/USDT,4h,1503014400,1503028800,1503014400,2017-08-18T00:00:00+00:00,2017-08-18T08:00:00+08:00,4285.08,4340.62,4134.61,4292.39,276.193043
legacy,crypto,BTC/USDT,4h,1503028800,1503043200,1503028800,2017-08-18T04:00:00+00:00,2017-08-18T12:00:00+08:00,4292.39,4340.62,4234.43,4300.25,248.389029
legacy,crypto,BTC/USDT,4h,1503043200,1503057600,1503043200,2017-08-18T08:00:00+00:00,2017-08-18T16:00:00+08:00,4285.0,4371.52,4259.85,4340.31,196.140129
legacy,crypto,BTC/USDT,4h,1503057600,1503072000,1503057600,2017-08-18T12:00:00+00:00,2017-08-18T20:00:00+08:00,4320.52,4340.31,4193.7,4236.89,175.969384
legacy,crypto,BTC/USDT,4h,1503072000,1503086400,1503072000,2017-08-18T16:00:00+00:00,2017-08-19T00:00:00+08:00,4234.54,4297.75,4015.7,4136.28,193.64697
legacy,crypto,BTC/USDT,4h,1503086400,1503100800,1503086400,2017-08-18T20:00:00+00:00,2017-08-19T04:00:00+08:00,4135.0,4136.48,3938.77,4108.37,109.549709
legacy,crypto,BTC/USDT,4h,1503100800,1503115200,1503100800,2017-08-19T00:00:00+00:00,2017-08-19T08:00:00+08:00,4108.37,4184.69,4084.28,4138.55,108.510448
legacy,crypto,BTC/USDT,4h,1503115200,1503129600,1503115200,2017-08-19T04:00:00+00:00,2017-08-19T12:00:00+08:00,4138.5,4156.0,3933.21,4033.47,112.752079
legacy,crypto,BTC/USDT,4h,1503129600,1503144000,1503129600,2017-08-19T08:00:00+00:00,2017-08-19T16:00:00+08:00,4033.47,4082.25,3850.0,3957.6,77.256042
legacy,crypto,BTC/USDT,4h,1503144000,1503158400,1503144000,2017-08-19T12:00:00+00:00,2017-08-19T20:00:00+08:00,3945.12,4100.0,3928.89,3972.05,47.515578
legacy,crypto,BTC/USDT,4h,1503158400,1503172800,1503158400,2017-08-19T16:00:00+00:00,2017-08-20T00:00:00+08:00,4036.19,4103.92,3953.4,4076.12,25.925056
