timestamp,open,high,low,close,volume,open_1h,high_1h,low_1h,close_1h,volume_1h,open_4h,high_4h,low_4h,close_4h,volume_4h
2025-05-06 09:15:00+08:00,94750.72,94926.99,94750.72,94821.32,83.43933,94312.59,94400.0,94012.78,94334.99,0.0,94454.01,94638.01,94308.63,94400.99,0.0
2025-05-06 09:30:00+08:00,94821.31,94821.31,94382.82,94382.83,124.11418,94312.59,94400.0,94012.78,94334.99,0.0,94454.01,94638.01,94308.63,94400.99,0.0
2025-05-06 09:45:00+08:00,94382.83,94433.5,94312.59,94312.6,85.61292,94312.59,94400.0,94012.78,94334.99,0.0,94454.01,94638.01,94308.63,94400.99,0.0
2025-05-06 10:00:00+08:00,94312.59,94400.0,94213.15,94240.87,94.39734,94312.59,94400.0,94012.78,94334.99,407.51157,94454.01,94638.01,94308.63,94400.99,0.0
2025-05-06 10:15:00+08:00,94240.87,94240.87,94053.04,94113.93,128.14534,94312.59,94400.0,94012.78,94334.99,0.0,94454.01,94638.01,94308.63,94400.99,0.0
2025-05-06 10:30:00+08:00,94113.92,94233.97,94012.78,94153.99,105.31886,94312.59,94400.0,94012.78,94334.99,0.0,94454.01,94638.01,94308.63,94400.99,0.0
2025-05-06 10:45:00+08:00,94153.99,94379.98,94153.98,94334.99,79.65003,94312.59,94400.0,94012.78,94334.99,0.0,94454.01,94638.01,94308.63,94400.99,0.0
2025-05-06 11:00:00+08:00,94334.99,94390.82,94244.7,94257.87,65.78367,94334.99,94512.33,94233.96,94454.01,443.01047,94454.01,94638.01,94308.63,94400.99,0.0
2025-05-06 11:15:00+08:00,94257.87,94430.32,94233.96,94402.77,127.34453,94334.99,94512.33,94233.96,94454.01,0.0,94454.01,94638.01,94308.63,94400.99,0.0
2025-05-06 11:30:00+08:00,94402.76,94498.12,94402.76,94481.72,162.55985,94334.99,94512.33,94233.96,94454.01,0.0,94454.01,94638.01,94308.63,94400.99,0.0
2025-05-06 11:45:00+08:00,94481.72,94512.33,94432.68,94454.01,87.32242,94334.99,94512.33,94233.96,94454.01,0.0,94454.01,94638.01,94308.63,94400.99,0.0
2025-05-06 12:00:00+08:00,94454.01,94454.35,94350.83,94397.73,42.77237,94454.01,94583.82,94350.83,94574.57,265.48199,94454.01,94638.01,94308.63,94400.99,1310.52658
2025-05-06 12:15:00+08:00,94397.74,94571.42,94373.64,94571.41,67.87197,94454.01,94583.82,94350.83,94574.57,0.0,94454.01,94638.01,94308.63,94400.99,0.0
2025-05-06 12:30:00+08:00,94571.41,94583.82,94458.73,94461.21,79.69025,94454.01,94583.82,94350.83,94574.57,0.0,94454.01,94638.01,94308.63,94400.99,0.0
2025-05-06 12:45:00+08:00,94461.21,94583.82,94461.21,94574.57,75.1474,94454.01,94583.82,94350.83,94574.57,0.0,94454.01,94638.01,94308.63,94400.99,0.0
2025-05-06 13:00:00+08:00,94574.57,94603.03,94490.67,94490.68,97.35971,94574.57,94603.03,94308.63,94345.56,415.59566,94454.01,94638.01,94308.63,94400.99,0.0
2025-05-06 13:15:00+08:00,94490.67,94515.91,94349.7,94369.21,146.42123,94574.57,94603.03,94308.63,94345.56,0.0,94454.01,94638.01,94308.63,94400.99,0.0
2025-05-06 13:30:00+08:00,94369.22,94414.84,94308.63,94359.99,78.49018,94574.57,94603.03,94308.63,94345.56,0.0,94454.01,94638.01,94308.63,94400.99,0.0
2025-05-06 13:45:00+08:00,94360.0,94419.05,94320.0,94345.56,93.32454,94574.57,94603.03,94308.63,94345.56,0.0,94454.01,94638.01,94308.63,94400.99,0.0
2025-05-06 14:00:00+08:00,94345.57,94460.38,94335.11,94437.02,33.12969,94345.57,94498.12,94335.11,94498.11,166.28019,94454.01,94638.01,94308.63,94400.99,0.0
2025-05-06 14:15:00+08:00,94437.02,94470.64,94398.55,94417.78,36.17859,94345.57,94498.12,94335.11,94498.11,0.0,94454.01,94638.01,94308.63,94400.99,0.0
2025-05-06 14:30:00+08:00,94417.78,94482.54,94391.67,94477.03,58.65478,94345.57,94498.12,94335.11,94498.11,0.0,94454.01,94638.01,94308.63,94400.99,0.0
2025-05-06 14:45:00+08:00,94477.04,94498.12,94420.71,94498.11,38.31713,94345.57,94498.12,94335.11,94498.11,0.0,94454.01,94638.01,94308.63,94400.99,0.0
