source,market,symbol,interval,kline_open_ts,kline_close_ts,fetch_ts,open,high,low,close,volume
binance,crypto,BTC/USDT,1h,1767441600.0,1767445200.0,1767446174.2427251,89752.75,90046.0,89664.93,90039.13,374.21001
binance,crypto,BTC/USDT,1h,1767445200.0,1767448800.0,1767446174.2427251,90039.12,90039.12,89920.01,90011.12,67.88571
